,Words,Count,Attributes
0,,7574,
1,car,3938,
2,s,3902,
3,nt,3395,
4,cars,1960,
5,bmw,1959,
6,tl,1865,
7,like,1792,Feel and Comfort
8,would,1604,
9,one,1568,
10,g35,1371,
11,get,1295,
12,think,1215,
13,better,986,
14,drive,968,Feel and Comfort
15,m,940,
16,performance,937,Performance
17,new,921,
18,much,917,
19,even,865,
20,people,865,
21,good,830,Feel and Comfort
22,really,765,
23,well,745,
24,know,744,
25,driving,739,Feel and Comfort
26,best,734,
27,also,730,
28,sedan,713,
29,want,710,
30,luxury,704,Feel and Comfort
31,rwd,684,Performance
32,say,642,
33,330i,637,
34,still,631,
35,engine,628,Performance
36,ve,599,
37,time,598,
38,could,597,
39,way,584,
40,series,582,
41,make,567,Features and Styling
42,fwd,565,Features and Styling
43,see,558,
44,price,554,Economic
45,d,540,
46,acura,538,
47,buy,536,Economic
48,great,531,Features and Styling
49,awd,530,Features and Styling
50,go,528,
51,ll,525,
52,handling,515,Feel and Comfort
53,many,515,
54,power,514,Performance
55,interior,508,Features and Styling
56,re,506,
57,test,504,
58,hp,496,Performance
59,lexus,490,
60,manual,483,Features and Styling
61,infiniti,480,
62,going,479,
63,look,474,Features and Styling
64,years,470,
65,back,469,
66,less,455,
67,tires,448,Features and Styling
68,got,444,
69,right,443,
70,take,429,
71,two,421,
72,said,416,
73,feel,415,Feel and Comfort
74,sales,414,Economic
75,ca,411,
76,may,410,
77,never,406,
78,sport,400,Feel and Comfort
79,point,400,
80,audi,381,
81,different,381,
82,sure,380,
83,little,372,
84,thing,370,
85,need,370,
86,torque,369,Performance
87,road,369,
88,year,368,
89,cts,361,
90,around,361,
91,lot,358,
92,class,358,Features and Styling
93,maybe,341,
94,a4,337,
95,something,337,
96,looking,329,Feel and Comfort
97,every,329,
98,since,326,
99,first,323,
100,fun,320,Feel and Comfort
101,another,318,
102,coupe,318,
103,nice,317,Feel and Comfort
104,difference,317,
105,getting,315,
106,probably,314,
107,etc,314,
108,tsx,313,
109,believe,310,
110,us,309,
111,package,305,Economic
112,mb,305,
113,last,304,
114,vehicle,303,
115,value,301,Economic
116,actually,300,
117,mph,299,Performance
118,snow,293,
119,speed,292,Performance
120,agree,290,
121,makes,288,
122,auto,284,
123,driven,282,
124,long,282,
125,though,280,
126,yes,276,
127,gas,276,Economic
128,325i,276,
129,is300,276,
130,fact,274,
131,money,273,Economic
132,far,271,
133,driver,270,
134,looks,269,Features and Styling
135,without,269,
136,big,268,
137,drove,266,
138,numbers,265,
139,top,265,
140,love,264,Feel and Comfort
141,pretty,264,Features and Styling
142,always,263,
143,find,263,
144,made,262,
145,vs,262,
146,either,262,
147,old,261,
148,enough,261,
149,guess,260,
150,bad,259,
151,reliability,259,Feel and Comfort
152,front,256,
153,used,255,
154,things,255,
155,330,253,
156,might,251,
157,miles,251,Economic
158,brand,250,Feel and Comfort
159,seems,250,
160,others,248,
161,anything,247,
162,60,246,
163,nothing,245,
164,ever,244,
165,xtype,243,
166,come,242,
167,ride,242,
168,hard,239,
169,least,238,
170,high,238,
171,real,238,
172,let,237,
173,sedans,235,
174,almost,235,
175,honda,234,
176,put,233,
177,nissan,232,
178,accord,232,
179,30,231,
180,sports,231,Feel and Comfort
181,system,229,Features and Styling
182,yet,228,
183,regards,227,
184,course,227,
185,read,227,
186,give,226,
187,bit,226,
188,next,225,
189,anyone,225,
190,automatic,224,
191,keep,223,
192,however,223,
193,steering,223,Features and Styling
194,experience,220,Feel and Comfort
195,vehicles,220,
196,mileage,219,Economic
197,end,216,
198,saab,215,
199,m3,214,
200,quality,212,Feel and Comfort
201,mpg,211,Economic
202,opinion,210,
203,quite,210,
204,line,210,
205,transmission,210,Performance
206,world,208,
207,seat,208,Features and Styling
208,day,207,
209,else,206,
210,based,206,
211,dealer,206,Dealership Services
212,level,205,
213,problem,204,
214,cost,204,Economic
215,v6,204,
216,talking,203,Dealership Services
217,japanese,203,
218,dont,202,
219,bought,202,
220,fast,201,Performance
221,seats,201,Features and Styling
222,track,201,
223,thought,201,
224,3series,199,
225,use,199,
226,model,197,
227,shipo,197,
228,buying,196,
229,rear,196,
230,post,196,
231,mean,194,
232,TRUE,192,
233,comes,191,
234,times,190,
235,wheels,190,Features and Styling
236,market,188,
237,thanks,188,
238,comparison,187,
239,weight,186,Feel and Comfort
240,reason,184,
241,winter,183,
242,entry,183,
243,faster,182,Performance
244,styling,182,Features and Styling
245,discussion,180,
246,near,178,
247,compared,177,
248,worth,177,Economic
249,someone,176,
250,mercedes,175,
251,close,175,
252,wheel,175,Features and Styling
253,choice,174,
254,second,173,
255,must,173,
256,work,172,
257,problems,172,
258,volvo,171,
259,features,171,Features and Styling
260,everything,171,
261,wrong,170,
262,care,170,Dealership Services
263,gets,170,
264,http,169,
265,live,168,
266,tell,167,
267,pay,166,Economic
268,size,166,Feel and Comfort
269,suspension,163,Feel and Comfort
270,acceleration,162,Performance
271,everyone,160,
272,list,159,
273,g35x,157,
274,matter,156,
275,overall,156,
276,standard,156,Feel and Comfort
277,drivers,156,
278,steer,155,Feel and Comfort
279,especially,154,
280,2004,154,
281,seen,151,
282,extra,151,
283,mind,151,
284,rather,150,
285,wo,149,
286,try,149,
287,seem,148,
288,issue,148,
289,subaru,148,
290,ctsv,147,
291,set,146,
292,small,146,
293,wife,146,
294,compare,145,
295,low,145,
296,done,144,
297,design,144,Features and Styling
298,10,144,
299,category,143,
300,found,143,
301,premium,143,Feel and Comfort
302,msrp,143,Economic
303,unless,143,
304,fuel,142,Economic
305,60,142,
306,bmws,142,
307,325,142,
308,trying,141,
309,saying,140,
310,simply,140,
311,toyota,140,
312,oh,140,
313,expensive,140,Economic
314,away,140,
315,146,138,
316,felt,137,
317,change,136,
318,american,136,
319,number,136,
320,wanted,136,
321,interesting,136,Feel and Comfort
322,fine,136,
323,highway,135,
324,deal,134,Economic
325,available,134,
326,sorry,134,
327,consider,133,
328,enjoy,133,Feel and Comfort
329,higher,133,
330,board,133,
331,part,133,
332,yeah,133,
333,sold,132,
334,safety,132,Feel and Comfort
335,cr,132,
336,understand,132,
337,owners,132,
338,ago,131,
339,is350,131,
340,leather,130,Features and Styling
341,engines,130,Performance
342,side,129,
343,sell,128,
344,tranny,126,
345,although,125,
346,needs,125,
347,options,125,
348,question,125,
349,traction,125,Feel and Comfort
350,already,124,
351,came,124,
352,gear,123,Features and Styling
353,models,123,
354,btw,123,
355,cadillac,123,
356,prefer,122,
357,maxima,122,
358,three,122,
359,german,122,
360,buyers,122,
361,vw,122,
362,making,122,
363,race,121,Feel and Comfort
364,sti,121,
365,add,120,
366,lux,120,Feel and Comfort
367,2005,120,
368,days,119,
369,important,119,
370,roads,118,
371,owned,118,
372,comparing,118,
373,anyway,118,
374,check,118,
375,service,118,Dealership Services
376,place,117,
377,plus,117,
378,segment,117,
379,run,117,
380,current,116,
381,hyundai,116,
382,average,116,
383,equipped,116,Features and Styling
384,20,116,
385,start,116,
386,passat,115,
387,certainly,115,
388,given,115,
389,300,115,
390,turn,114,
391,hope,114,
392,jaguar,114,
